id,plcid,title,addr,modbusAddr,type,dictid,value_format,multiplicator,shift,save_to_log,measureUnits,has_normal,normal_regid,normal_regid2,normal_dynamic_value,normal_binary_value,normal_binary_text,normal_color,normal_min_regid,normal_min_delta,normal_max_regid,normal_max_delta,normal_min_val,normal_max_val,has_disabled,disabled_regid,disabled_regid2,disabled_dynamic_value,disabled_binary_value,disabled_binary_text,disabled_color,disabled_min_regid,disabled_min_delta,disabled_max_regid,disabled_max_delta,disabled_min_val,disabled_max_val,has_warning,warning_regid,warning_regid2,warning_dynamic_value,warning_binary_value,warning_binary_text,warning_color,warning_min_regid,warning_min_delta,warning_max_regid,warning_max_delta,warning_min_val,warning_max_val,has_alert,alert_regid,alert_regid2,alert_dynamic_value,alert_binary_value,alert_binary_text,alert_color,alert_min_regid,alert_min_delta,alert_max_regid,alert_max_delta,alert_min_val,alert_max_val,timeformat,log_tolerance,precision_digits,min_log_interval,max_log_interval,max_graph_interval,max_allowed_value,min_allowed_value,rw_mode,min_reasonable_value,max_reasonable_value,save_graph_data,graph_interval,graph_color,disabled,nocloud,delta,delay,bitmask,words_order,time_duration,priority,cloud_log,cloud_rt,description,variable,category,alerts_enbl,alerts,cloud_sync
"20","4","KM2","I0","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","","var_KM2","A2 TM3DI32K","0","{}","0"
"19","4","KM3","I1","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","","var_KM3","A2 TM3DI32K","0","{}","0"
"31","4","KM14","I10","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","","var_KM14","A2 TM3DI32K","0","{}","0"
"32","4","ПускАвт","I11","","0","0","0","","","0","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","0","0","","0","","0","0","","0","0","0","0","0","","var_PuskAvt","A2 TM3DI32K","0","{}","0"
"33","4","Стоп","I12","","0","0","0","","","0","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","0","0","","0","","0","0","","0","0","0","0","0","","var_Stop","A2 TM3DI32K","0","{}","0"
"34","4","Dummy1","I13","","0","0","0","","","0","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","0","0","","0","","0","0","-1","0","0","0","0","0","","","A2 TM3DI32K","0","{}","0"
"35","4","Dummy2","I14","","0","0","0","","","0","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","0","0","","0","","0","0","-1","0","0","0","0","0","","","A2 TM3DI32K","0","{}","0"
"36","4","Dummy3","I15","","0","0","0","","","0","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","0","0","","0","","0","0","-1","0","0","0","0","0","","","A2 TM3DI32K","0","{}","0"
"37","4","SQ1_s","I16","","0","0","0","","","0","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","0","0","","0","","0","0","","0","0","0","0","0","76: Трасовый толкатель перед резчиком","var_SQ1_s","A2 TM3DI32K","0","{}","0"
"38","4","SQ2_s","I17","","0","0","0","","","0","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","0","0","","0","","0","0","","0","0","0","0","0","","var_SQ2_s","A2 TM3DI32K","0","{}","0"
"39","4","Ключ1_s","I18","","0","0","0","","","0","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","0","0","","0","","0","0","","0","0","0","0","0","","var_Kluch1_s","A2 TM3DI32K","0","{}","0"
"40","4","Впер1_s","I19","","0","0","0","","","0","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","0","0","","0","","0","0","","0","0","0","0","0","","var_Vper1_s","A2 TM3DI32K","0","{}","0"
"21","4","KM4","I2","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","","var_KM4","A2 TM3DI32K","0","{}","0"
"41","4","Наз1_s","I20","","0","0","0","","","0","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","0","0","","0","","0","0","","0","0","0","0","0","","var_Naz1_s","A2 TM3DI32K","0","{}","0"
"46","4","SQ3_s","I21","","0","0","0","","","0","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","0","0","","0","","0","0","","0","0","0","0","0","","","A2 TM3DI32K","0","{}","0"
"48","4","SQ4_s","I22","","0","0","0","","","0","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","0","0","","0","","0","0","","0","0","0","0","0","","","A2 TM3DI32K","0","{}","0"
"49","4","SQ5_s","I23","","0","0","0","","","0","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","0","0","","0","","0","0","","0","0","0","0","0","","","A2 TM3DI32K","0","{}","0"
"50","4","SQ6_s","I24","","0","0","0","","","0","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","0","0","","0","","0","0","","0","0","0","0","0","","","A2 TM3DI32K","0","{}","0"
"51","4","HED2-1_s","I25","","0","0","0","","","0","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","0","0","","0","","0","0","","0","0","0","0","0","","","A2 TM3DI32K","0","{}","0"
"52","4","HED2-2_s","I26","","0","0","0","","","0","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","0","0","","0","","0","0","","0","0","0","0","0","","","A2 TM3DI32K","0","{}","0"
"73","4","Dummy4","I27","","0","0","0","","","0","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","0","0","","0","0","0","0","","0","0","0","0","0","","","A2 TM3DI32K","0","{}","0"
"74","4","Dummy5","I28","","0","0","0","","","0","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","0","0","","0","0","0","0","","0","0","0","0","0","","","A2 TM3DI32K","0","{}","0"
"75","4","HED2-5_s","I29","","0","0","0","","","0","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","0","0","","0","0","0","0","","0","0","0","0","0","","","A2 TM3DI32K","0","{}","0"
"27","4","KM7","I3","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","","var_KM7","A2 TM3DI32K","0","{}","0"
"22","4","KM8","I4","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","","var_KM8","A2 TM3DI32K","0","{}","0"
"28","4","KM9","I5","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","","var_KM9","A2 TM3DI32K","0","{}","0"
"23","4","KM10","I6","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","","var_KM10","A2 TM3DI32K","0","{}","0"
"29","4","KM11","I7","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","","var_KM11","A2 TM3DI32K","0","{}","0"
"24","4","KM12","I8","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","","var_KM12","A2 TM3DI32K","0","{}","0"
"30","4","KM13","I9","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","","var_KM13","A2 TM3DI32K","0","{}","0"